"Date","PM10"
"01/01/2024","45.4016438222484"
"02/01/2024","29.7850208656745"
"03/01/2024","21.8330245702459"
"04/01/2024","11.9869464289953"
"05/01/2024","30.1118319504642"
"06/01/2024","37.9235715129"
"07/01/2024","21.9156001684455"
"08/01/2024","39.2081165776387"
"09/01/2024","53.2594149569999"
"10/01/2024","100.338585925775"
"11/01/2024","52.478688652354"
"12/01/2024","30.6683635258013"
"13/01/2024","21.2388073131819"
"14/01/2024","25.5530922251045"
"15/01/2024","16.0507017273871"
"16/01/2024","25.0485198614713"
"17/01/2024","45.9418605871639"
"18/01/2024","36.2423771904104"
"19/01/2024","36.5570444026884"
"20/01/2024","19.3407530346755"
"21/01/2024","40.7271061921592"
"22/01/2024","44.7447639437126"
"23/01/2024","24.4489440973434"
"24/01/2024","23.8537266123319"
"25/01/2024","10.3303074506041"
"26/01/2024","33.1585221535573"
"27/01/2024","17.1269137338846"
"28/01/2024","42.0488719881504"
"29/01/2024","48.7581659825662"
"30/01/2024","56.278094254679"
"31/01/2024","44.3510651721044"
"01/02/2024","37.8842490339793"
"02/02/2024","27.94669387602"
"03/02/2024","13.0873990563729"
"04/02/2024","10.4767422017886"
"05/02/2024","6.97816606596031"
"06/02/2024","12.1126332950317"
"07/02/2024","13.2958512195022"
"08/02/2024","30.4411174630863"
"09/02/2024","37.6870676483262"
"10/02/2024","45.2916556515732"
"11/02/2024","36.582088598155"
"12/02/2024","28.6341018586601"
"13/02/2024","32.5853584244448"
"14/02/2024","44.4825533825931"
"15/02/2024","49.8152161698864"
"16/02/2024","49.9999530833028"
"17/02/2024","40.6070795935625"
"18/02/2024","26.6747534671881"
"19/02/2024","33.5064185101569"
"20/02/2024","-"
"21/02/2024","30.5749094497522"
"22/02/2024","34.9536356792552"
"23/02/2024","32.117151988725"
"24/02/2024","29.0161084469971"
"25/02/2024","41.5201320993261"
"26/02/2024","43.3388071502662"
"27/02/2024","52.9560034435799"
"28/02/2024","57.0649667566441"
"29/02/2024","42.445836449619"
"01/03/2024","52.5370311452416"
"02/03/2024","50.4164808307067"
"03/03/2024","34.2646975486262"
"04/03/2024","46.0232783781099"
"05/03/2024","35.9840264038552"
"06/03/2024","33.7205141766184"
"07/03/2024","-"
"08/03/2024","-"
"09/03/2024","43.3069886559458"
"10/03/2024","28.9364269700487"
"11/03/2024","29.3456495011907"
"12/03/2024","33.4380458415614"
"13/03/2024","32.8639777625541"
"14/03/2024","44.5773876437384"
"15/03/2024","41.8468464925653"
"16/03/2024","38.9764777271478"
"17/03/2024","17.3127476484537"
"18/03/2024","24.9659859604027"
"19/03/2024","29.2426233971249"
"20/03/2024","44.2202168620937"
"21/03/2024","58.326705869661"
"22/03/2024","43.3992168248124"
"23/03/2024","28.8322539821087"
"24/03/2024","26.0320960120475"
"25/03/2024","30.3308494991742"
"26/03/2024","31.6069388720249"
"27/03/2024","28.5871316856039"
"28/03/2024","33.4907551968527"
"29/03/2024","26.3757071232623"
"30/03/2024","60.447131073224"
"31/03/2024","68.6064675437435"
